Phase,Sub-phase / Step,Key activities,Time range (approx.),Cost range (approx.),Comments
Early Drug Discovery,Target identification,"Identify and prioritise disease-relevant genes, proteins, RNAs, pathways, networks and biomarkers using genomics, transcriptomics, proteomics, phenotypic data, literature mining, knowledge graphs and bioinformatics; assess causal evidence, tractability or druggability, unmet clinical need, indication fit, competitive landscape and target product profile alignment.","6-24 months","0.15-0.94 M USD",Target-to-hit cycles are ~12 months; target validation programmes up to $150k; early investment before a “No Go” decision can exceed $0.9M.
Early Drug Discovery,Target validation,"Validate that modulating the target changes disease biology using CRISPR, gene knockdown or knockout, RNAi, antibodies, affinity reagents, chemical probes and perturbation assays; confirm mechanism, causality, selectivity, on-target and off-target effects, translational biomarkers and human disease relevance.","12 months","0.27-0.94 M USD",Typical target-validation costs are about $268k and may reach about $0.94M if started at risk.
Early Drug Discovery,Assay development,"Design, miniaturise and validate biochemical, biophysical and cell-based assays for screening and follow-up; optimise controls, signal window, reproducibility, Z’-factor, automation readiness, reagent stability, image-analysis pipelines and data quality control.","6-12 months","0.10-0.30 M USD",Often part of the 12-month target-to-hit phase; hit-identification programmes funded up to $300k for 18 months.
Early Drug Discovery,Hit identification,"Discover initial actives via high-throughput screening, focused libraries, fragment screening, DNA-encoded libraries, virtual screening and structure-based screening; prioritise hits by potency, novelty, selectivity, tractability, assay interference risk and confirmatory retesting.","12-18 months","0.30-1.46 M USD",Identifying actives takes about 12 months and may cost $0.47-1.46M; accelerator programs allocate up to $300k.
Early Drug Discovery,Hit-to-Lead,"Re-synthesise and triage hits, confirm activity in orthogonal assays and run design-make-test-analyse cycles to improve potency, selectivity, liabilities and early ADME; remove false positives, PAINS, reactive chemotypes and unstable series.","6-18 months","0.50-1.80 M USD",Accelerated programmes can take 6-9 months; confirmation of hits can take about 18 months; hit-to-lead funding up to $500k.
Early Drug Discovery,Lead identification,"Select lead series with defined structure-activity relationships, synthetic feasibility, developability and early in vivo signal; compare backup series, establish PK/PD hypotheses, early safety margins and route or scaffold attractiveness for progression.","12-18 months","0.35-2.10 M USD",Identifying a chemical lead costs about $0.35M; cumulative investment to this point can reach $2.1M.
Early Drug Discovery,Lead optimization,"Iteratively optimise leads for potency, selectivity, exposure, solubility, permeability, metabolic stability, DMPK, safety and formulation compatibility using medicinal chemistry, computational design, active learning and multi-parameter optimisation.","12-36 months","0.30-2.40 M USD",Lead optimisation often lasts 12-15 months and may extend to 36 months; accelerator budgets up to $1M.
Early Drug Discovery,Candidate selection & pre-formulation,"Nominate a development candidate and pre-formulation package by characterising solid state, salt or co-crystal options, physicochemical stability, excipient compatibility, bioavailability, dose feasibility and route of administration; define the initial dosage form and CMC-enabling requirements.","6-12 months","0.28-0.37 M USD",Selection of a development candidate and pre-IND meeting preparation cost about $0.275-0.37M.
Pre-clinical Development,Pharmacology & ADME,"Characterise absorption, distribution, metabolism, excretion and pharmacodynamics using in vitro and in vivo studies; quantify exposure, bioavailability, clearance, metabolite profile, drug-drug interaction risk, transporter effects and PK/PD relationships.","1-2 years","1-5 M USD",Preclinical programmes last about 1-2 years; pharmacology studies alone cost about $1-2M.
Pre-clinical Development,Toxicology,"Run GLP toxicology, safety pharmacology and genotoxicity programmes including acute, repeat-dose, reproductive, carcinogenicity and local tolerance assessments; determine NOAEL, target-organ toxicity, exposure margins, species selection and risk mitigation.","0-24 months","1.8-10 M USD","Acute studies last days to 2 weeks, subchronic 90 days to 6 months, chronic 6-24 months; toxicology studies account for about $1.8M of preclinical spend, and full preclinical programmes can cost up to $10M."
Pre-clinical Development,Proof-of-concept & efficacy,"Demonstrate therapeutic effect and dose-response in disease-relevant in vitro, ex vivo and in vivo models; define translatability, biomarker strategy, responder hypotheses and comparative efficacy versus standard of care or controls.","6-12 months","1-2 M USD",IND-enabling assay development and study durations often total 6-12 months; pharmacology and efficacy studies form part of the $6-8M preclinical budget.
Pre-clinical Development,Phase 0 (microdosing),"Conduct optional human microdosing or exploratory IND studies to obtain very early human PK, biodistribution or target engagement signals with sub-therapeutic exposure; de-risk formulation, analytics and candidate selection.","4-6 months","0.5-1 M USD",Microdose programmes cost substantially less than full Phase I studies.
Pre-clinical Development,Formulation & delivery optimisation,"Improve solubility, dissolution, stability, release profile and delivery route using salt screening, particle engineering, excipient selection, nano or micro-formulations and device or parenteral delivery design; optimise manufacturability and clinical usability.","6-12 months","0.28-3.8 M USD",Usually concurrent with candidate selection; pre-formulation costs about $0.28-0.37M; formulation and manufacturing to clinic may add about $3.8M.
Pre-clinical Development,IND preparation,"Assemble IND-enabling nonclinical, CMC, pharmacology, toxicology and bioanalytical packages; prepare investigator brochures, clinical-start protocols, safety summaries, module-ready content and regulatory correspondence for IND submission.","6-36 months","2-7 M USD",IND-enabling programmes cost $2-7M for small molecules.
Clinical Development,Study design & initiation,"Design clinical protocols, endpoints, eligibility criteria, randomisation, dose escalation, sample schedules and bioanalytical plans; select sites, activate study systems, train investigators, obtain ethics approvals and ensure GCP and patient protection.","6-9 months","0.02-0.03 M USD",Per study site; activating a trial site costs about $20-25k.
Clinical Development,Phase I,"Run first-in-human, SAD, MAD, food-effect, DDI or special-population studies to assess safety, tolerability, PK, PD and maximum tolerated or biologically active dose; review adverse events and dose-escalation decisions.","12-18 months","4-28 M USD",Per-patient costs yield $4-5.26M total; some estimates place Phase I spending at about $25M and $28M on average.
Clinical Development,Phase II,"Evaluate preliminary efficacy, dose-response, regimen selection and proof-of-concept in patients; monitor adverse events, protocol deviations, subgroup signals and biomarkers while refining endpoints and go or no-go criteria.","1-4 years","7-65 M USD",Phase II trials cost $7-20M in some sources; other studies report about $58.6M or about $65M.
Clinical Development,Phase III,"Confirm efficacy and safety in pivotal, randomised, often double-blind multicentre trials; manage recruitment, site performance, adjudication, data cleaning, statistical analysis and regulatory-readiness of the clinical package.","2-4 years","20-350 M USD",Reported costs range from $20-100M+ to about $350M; average spend reported around $282M or $255M.
Clinical Development,Phase IV,"Monitor long-term safety, effectiveness, adherence and real-world outcomes after approval; generate RWE, post-authorisation safety or efficacy studies, comparative effectiveness data and evidence for line extensions or label changes.","N/A","20-300 M USD",Ongoing for years to decades after approval; post-marketing surveillance programmes may cost $20-300M.
Regulatory Review & Approval,NDA/BLA submission,"Assemble and publish the final regulatory dossier including clinical, nonclinical, CMC, labeling, risk management and pharmacovigilance components; manage eCTD publishing, QC, submission tracking and health authority questions.","6-12 months","2.34-4.68 M USD",Time to compile and submit; application fees for NDAs/BLAs range from $2.34M to $4.68M.
Regulatory Review & Approval,FDA review & decision,"Support regulatory review through information requests, inspection readiness, advisory committee preparation, label negotiations, post-marketing commitments and responses to complete response or approval actions.","6-10 months","2.34-4.68 M USD",Standard review is about 10 months; priority review about 6 months; review funded by PDUFA fees included in the NDA/BLA user fee.
Regulatory Review & Approval,Reasons for failure,"Analyse attrition drivers such as lack of efficacy, safety or toxicity, PK or PD failure, trial execution problems, CMC or manufacturing deficiencies, regulatory objections, competitive shifts and commercial non-viability.","N/A","N/A","No quantitative range provided."
Regulatory Review & Approval,Generics/ANDA,"Prepare abbreviated submissions demonstrating pharmaceutical equivalence, bioequivalence, sameness where required, CMC quality and manufacturing compliance; manage BE studies, labeling carve-outs, deficiency responses and GDUFA workflows.","17-89 months","0.36-1.5 M USD",Median approval time is about 35 months; GDUFA ANDA fee is about $0.358M with additional facility fees; total development costs are usually several million.
Post-market & Lifecycle,Pharmacovigilance,"Collect and analyse adverse event reports through systems like FAERS; implement risk mitigation and label updates. Includes Drug Safety, ICSR case processing, signal detection and signal management, benefit-risk assessments, RMP or PSMF maintenance, E2B(R3) compliance, MedDRA coding, SUSAR reporting, QPPV services, literature surveillance, label monitoring, and EudraVigilance gateway management.","N/A","20-300 M USD",Ongoing throughout product life; post-marketing surveillance programmes cost $20-300M.
Post-market & Lifecycle,Additional indications & formulations,"Extend lifecycle value through new indications, line extensions, formulations, combination products or special populations; run supplemental clinical studies, generate supporting evidence and manage sNDA, sBLA or variation filings.","1-2 years","20-100 M USD","New studies may take about 1-2 years and FDA review about 10 months; additional clinical trials for new indications generally cost tens of millions, using Phase II/III cost ranges."
Post-market & Lifecycle,Manufacturing scale-up & quality,"Scale process from pilot to commercial manufacture with tech transfer, process validation, analytical methods, comparability, CMC control strategy, deviation or CAPA management, batch release and cGMP quality oversight.","0.5-1 year","2+ M USD",Setting up a compliant pharmaceutical manufacturing facility costs around $2M; large-scale commercial facilities may cost much more.
